ID	X	Y
1	0.3	0
2	0.6	0
3	0.9	0
4	1.2	0
5	1.5	0
6	1.8	0
7	2.1	0
8	2.4	0
9	2.7	0
10	3	0
11	3.3	0
12	3.6	0
13	3.9	0
14	4.2	0
15	4.5	0
16	4.8	0
17	5.1	0
18	5.4	0
19	5.7	0
20	6	0
21	6.3	0
22	6.6	0
23	6.9	0
24	7.2	0
25	7.5	0
26	7.8	0
27	8.1	0
28	8.4	0
29	8.7	0
30	9	0
31	9.3	0
32	9.6	0
33	9.9	0
34	10.2	0
35	10.5	0
36	10.8	0
37	11.1	0
38	11.4	0
39	11.7	0
40	12	0
41	12.3	0
42	12.6	0
43	12.9	0
44	13.2	0
45	13.5	0
46	13.8	0
47	14.1	0
48	14.4	0
49	14.7	0
50	15	0
51	15.3	0
52	15.6	0
53	15.9	0
54	16.2	0
55	16.5	0
56	16.8	0
57	17.1	0
58	17.4	0
59	17.7	0
60	18	0
61	18.3	0
62	18.6	0
63	18.9	0
64	19.2	0
65	19.5	0
66	19.8	0
67	20.1	0
68	20.4	0
69	20.7	0
70	21	0
71	21.3	0
72	21.6	0
73	21.9	0
74	22.2	0
75	22.5	0
76	22.8	0
77	23.1	0
78	23.4	0
79	23.7	0
80	24	0
81	24.3	0
82	24.6	0
83	24.9	0
84	25.2	0
85	25.5	0
86	25.8	0
87	26.1	0
88	26.4	0
89	26.7	0
90	27	0.3
91	27	0.6
92	27	0.9
93	27	1.2
94	27	1.5
95	27	1.8
96	27	2.1
97	27	2.4
98	27	2.7
99	27	3
100	27	3.3
101	27	3.6
102	27	3.9
103	27	4.2
104	27	4.5
105	27	4.8
106	27	5.1
107	27	5.4
108	27	5.7
109	27	6
110	27	6.3
111	27	6.6
112	27	6.9
113	27	7.2
114	27	7.5
115	27	7.8
116	27	8.1
117	27	8.4
118	27	8.7
119	27	9
120	27	9.3
121	27	9.6
122	27	9.9
123	27	10.2
124	27	10.5
125	27	10.8
126	27	11.1
127	27	11.4
128	27	11.7
